"","Plot ID","Long","Lat","UTM east","UTM north","UTM east of lower left","UTM north of lower left","Mean CHM"
"37","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"38","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"39","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"40","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"41","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"42","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"43","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"44","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"45","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"46","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"47","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"48","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"49","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"50","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"51","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"52","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"53","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"54","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"55","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"56","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"57","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"58","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"59","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"60","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"61","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"62","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"63","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"64","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"65","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"66","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"67","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"68","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"69","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
